generation	repeats	mean	best	mutation rate
0	404	10,782	23,227	0,10000
1	405	10,723	23,134	0,10000
2	409	10,604	22,358	0,10000
3	403	10,451	23,616	0,10000
4	404	10,405	23,637	0,10000
5	405	10,345	20,358	0,10000
6	406	10,310	21,868	0,10000
7	404	10,249	21,581	0,10000
8	402	10,139	20,525	0,10000
9	406	9,963	21,031	0,10000
10	408	9,946	21,866	0,10000
11	405	9,849	20,906	0,10000
12	406	9,794	20,984	0,10000
13	404	9,764	19,518	0,10000
14	407	9,686	21,624	0,10000
15	403	9,630	21,002	0,10000
16	402	9,616	24,658	0,10000
17	406	9,540	21,299	0,10000
18	406	9,496	19,945	0,10000
19	410	9,452	18,914	0,10000
20	407	9,363	18,195	0,10000
21	405	9,306	19,195	0,10000
22	408	9,246	17,356	0,10000
23	411	9,202	19,738	0,10000
24	408	9,173	19,028	0,10000
25	404	9,143	18,673	0,10000
26	404	9,158	19,155	0,10000
27	407	9,175	20,075	0,10000
28	406	9,149	20,153	0,10000
29	406	9,071	20,235	0,10000
30	405	9,058	19,212	0,10000
31	406	9,011	20,462	0,10000
32	403	8,947	18,299	0,10000
33	402	8,917	19,084	0,10000
34	405	8,896	20,296	0,10000
35	405	8,894	19,606	0,10000
36	402	8,854	17,874	0,10000
37	402	8,841	21,211	0,10000
38	404	8,789	19,903	0,10000
39	405	8,777	20,817	0,10000
40	408	8,804	22,346	0,10000
41	402	8,739	21,047	0,10000
42	404	8,687	20,747	0,10000
43	409	8,675	19,877	0,10000
44	403	8,679	20,452	0,10000
45	408	8,670	20,197	0,10000
46	404	8,658	19,545	0,10000
47	404	8,658	18,105	0,10000
48	406	8,602	18,258	0,10000
49	403	8,639	21,115	0,10000
50	402	8,623	20,943	0,10000
51	407	8,574	21,218	0,10000
52	403	8,564	20,472	0,10000
53	405	8,565	20,962	0,10000
54	406	8,519	20,070	0,10000
55	408	8,493	18,982	0,10000
56	405	8,461	16,913	0,10000
57	404	8,454	23,377	0,10000
58	409	8,441	18,224	0,10000
59	405	8,439	17,946	0,10000
60	401	8,453	17,481	0,10000
61	405	8,389	17,908	0,10000
62	407	8,370	19,250	0,10000
63	405	8,353	18,218	0,10000
64	407	8,307	15,434	0,10000
65	404	8,265	21,017	0,10000
66	408	8,238	18,788	0,10000
67	405	8,252	18,758	0,10000
68	404	8,291	21,160	0,10000
69	406	8,232	18,153	0,10000
70	404	8,260	18,858	0,10000
71	405	8,259	18,564	0,10000
72	405	8,214	18,173	0,10000
73	404	8,212	19,629	0,10000
74	405	8,215	22,102	0,10000
75	406	8,235	17,868	0,10000
76	403	8,185	18,075	0,10000
