generation	repeats	mean	best	mutation rate
0	401	10,980	25,845	0,27145
1	400	10,797	25,228	0,24562
2	400	10,722	25,343	0,22225
3	400	10,598	25,894	0,20110
4	400	10,441	22,774	0,18196
5	400	10,315	27,308	0,16464
6	401	10,192	26,927	0,14898
7	400	10,093	26,105	0,13480
8	400	10,028	27,135	0,12197
9	400	9,935	22,063	0,11036
10	402	9,815	19,692	0,09986
11	400	9,792	21,192	0,09036
12	402	9,669	22,703	0,08176
13	400	9,609	21,721	0,07398
14	400	9,561	22,246	0,06694
15	402	9,474	23,794	0,06057
16	400	9,367	19,891	0,05481
17	401	9,360	21,543	0,04959
18	403	9,356	21,586	0,04487
19	400	9,308	22,686	0,04060
20	400	9,280	23,932	0,03674
21	400	9,200	22,616	0,03324
22	400	9,159	22,703	0,03008
23	400	9,081	21,483	0,02722
24	400	9,075	21,071	0,02463
25	401	9,043	22,893	0,02228
26	400	9,046	20,787	0,02016
27	401	9,046	26,018	0,01824
28	400	8,965	21,544	0,01651
29	400	8,882	20,277	0,01494
30	400	8,888	24,618	0,01351
31	400	8,842	22,103	0,01223
32	400	8,755	23,751	0,01106
33	400	8,717	26,041	0,01001
34	402	8,648	21,624	0,00906
35	402	8,615	22,845	0,00820
36	401	8,578	22,899	0,00742
37	402	8,588	24,606	0,00671
38	403	8,528	25,706	0,00607
39	405	8,474	24,153	0,00549
40	401	8,451	24,156	0,00497
41	400	8,425	21,546	0,00450
42	401	8,436	19,404	0,00407
43	400	8,403	19,937	0,00368
44	403	8,411	23,661	0,00333
45	402	8,378	23,593	0,00302
46	401	8,373	23,611	0,00273
47	400	8,343	23,239	0,00247
48	401	8,277	23,610	0,00223
49	401	8,248	21,001	0,00202
50	400	8,280	22,634	0,00183
51	400	8,254	26,003	0,00165
52	401	8,291	22,149	0,00150
53	401	8,285	23,266	0,00135
54	400	8,255	25,474	0,00123
55	401	8,225	21,293	0,00111
56	400	8,170	23,050	0,00100
57	401	8,186	19,669	0,00091
58	401	8,139	21,059	0,00082
59	403	8,042	18,655	0,00074
60	400	8,040	16,685	0,00067
61	403	8,056	17,837	0,00061
62	400	8,039	21,561	0,00055
63	401	8,030	20,706	0,00050
64	403	7,984	22,980	0,00045
65	400	7,969	21,057	0,00041
66	401	7,944	22,157	0,00037
67	400	8,002	24,569	0,00033
68	400	8,016	21,892	0,00030
69	400	8,021	21,037	0,00027
70	400	8,003	20,027	0,00025
71	404	7,999	21,769	0,00022
72	400	7,979	19,781	0,00020
73	400	7,960	20,351	0,00018
74	400	7,941	19,529	0,00017
75	401	7,905	19,204	0,00015
76	400	7,931	19,756	0,00014
77	400	7,881	19,898	0,00012
78	400	7,836	17,322	0,00011
79	401	7,848	18,970	0,00010
80	400	7,847	19,258	0,00009
81	400	7,868	19,148	0,00008
82	400	7,880	17,566	0,00007
83	401	7,887	19,804	0,00007
84	401	7,826	21,536	0,00006
85	401	7,823	18,356	0,00006
86	401	7,785	20,765	0,00005
87	401	7,770	20,813	0,00005
88	400	7,752	18,678	0,00004
89	400	7,729	19,384	0,00004
90	400	7,736	20,622	0,00003
91	401	7,716	25,028	0,00003
92	401	7,749	22,485	0,00003
93	400	7,746	19,428	0,00002
94	400	7,722	27,644	0,00002
95	400	7,763	23,788	0,00002
96	400	7,752	22,507	0,00002
97	401	7,703	20,556	0,00002
98	400	7,710	24,355	0,00002
99	400	7,655	25,301	0,00001
100	400	7,687	22,363	0,00001
101	401	7,674	20,016	0,00001
102	401	7,688	18,440	0,00001
103	400	7,676	17,717	0,00001
104	402	7,649	19,161	0,00001
105	400	7,637	17,938	0,00001
106	400	7,567	20,497	0,00001
107	400	7,591	18,499	0,00001
108	401	7,559	17,861	0,00001
109	400	7,551	19,023	0,00001
110	400	7,555	17,310	0,00000
111	402	7,555	21,080	0,00000
112	401	7,574	20,687	0,00000
113	401	7,590	21,129	0,00000
114	400	7,578	17,000	0,00000
115	400	7,559	19,898	0,00000
116	401	7,541	19,910	0,00000
117	400	7,508	18,849	0,00000
118	400	7,497	17,700	0,00000
119	401	7,496	18,060	0,00000
120	400	7,514	17,714	0,00000
121	400	7,511	17,906	0,00000
122	400	7,510	18,267	0,00000
123	401	7,489	18,726	0,00000
124	400	7,525	18,169	0,00000
125	400	7,574	19,444	0,00000
126	401	7,527	17,878	0,00000
127	401	7,518	17,848	0,00000
128	400	7,483	17,676	0,00000
129	400	7,506	20,390	0,00000
130	400	7,491	19,931	0,00000
131	401	7,532	19,403	0,00000
132	401	7,598	19,367	0,00000
133	401	7,569	20,384	0,00000
134	400	7,540	18,492	0,00000
135	401	7,493	20,392	0,00000
136	401	7,457	18,307	0,00000
137	401	7,456	18,017	0,00000
138	403	7,461	19,858	0,00000
139	401	7,500	19,804	0,00000
140	403	7,495	23,341	0,00000
141	400	7,493	21,681	0,00000
142	400	7,469	20,293	0,00000
143	401	7,537	22,287	0,00000
144	402	7,549	21,931	0,00000
145	400	7,543	22,004	0,00000
146	401	7,524	19,847	0,00000
147	400	7,498	19,616	0,00000
148	401	7,484	22,420	0,00000
149	400	7,482	21,517	0,00000
150	400	7,456	19,781	0,00000
151	400	7,411	20,853	0,00000
152	400	7,420	20,916	0,00000
153	400	7,396	19,773	0,00000
154	400	7,379	18,634	0,00000
155	400	7,327	18,261	0,00000
156	400	7,363	20,133	0,00000
157	400	7,370	19,952	0,00000
158	401	7,351	19,345	0,00000
159	400	7,333	18,996	0,00000
160	402	7,367	20,774	0,00000
161	400	7,387	18,416	0,00000
162	400	7,374	19,143	0,00000
163	400	7,403	17,189	0,00000
164	401	7,439	18,689	0,00000
165	400	7,427	20,749	0,00000
166	401	7,388	19,287	0,00000
167	401	7,394	18,239	0,00000
168	401	7,333	18,367	0,00000
169	400	7,376	20,727	0,00000
170	402	7,408	23,929	0,00000
171	400	7,386	20,560	0,00000
172	402	7,385	20,226	0,00000
173	402	7,350	20,338	0,00000
174	402	7,302	18,359	0,00000
175	400	7,295	18,225	0,00000
176	401	7,283	19,412	0,00000
177	400	7,301	17,955	0,00000
178	401	7,298	17,797	0,00000
179	400	7,295	20,385	0,00000
180	401	7,330	17,655	0,00000
181	402	7,348	19,180	0,00000
182	401	7,346	19,397	0,00000
183	401	7,328	18,200	0,00000
184	400	7,342	17,604	0,00000
185	400	7,283	17,782	0,00000
186	400	7,286	19,816	0,00000
187	400	7,293	19,200	0,00000
188	400	7,322	17,879	0,00000
189	403	7,276	18,779	0,00000
190	400	7,323	21,261	0,00000
191	401	7,335	20,537	0,00000
192	400	7,331	21,287	0,00000
193	401	7,300	18,774	0,00000
194	403	7,289	21,817	0,00000
195	400	7,291	21,420	0,00000
196	400	7,312	20,498	0,00000
197	401	7,319	21,080	0,00000
198	400	7,320	19,943	0,00000
199	400	7,293	19,539	0,00000
200	403	7,337	21,417	0,00000
201	401	7,281	18,186	0,00000
202	401	7,272	19,286	0,00000
203	402	7,283	19,709	0,00000
204	401	7,280	18,949	0,00000
205	400	7,312	20,017	0,00000
206	400	7,280	19,726	0,00000
207	400	7,283	21,522	0,00000
208	401	7,253	21,122	0,00000
209	402	7,280	21,518	0,00000
210	402	7,294	18,921	0,00000
211	401	7,247	17,825	0,00000
212	401	7,266	24,115	0,00000
213	400	7,249	19,154	0,00000
214	404	7,218	21,257	0,00000
215	401	7,179	20,233	0,00000
216	401	7,162	20,186	0,00000
217	401	7,151	19,964	0,00000
218	400	7,136	18,947	0,00000
219	400	7,150	17,709	0,00000
220	400	7,160	16,902	0,00000
221	400	7,175	17,219	0,00000
222	401	7,194	17,599	0,00000
223	400	7,203	19,470	0,00000
224	402	7,218	18,768	0,00000
225	400	7,274	18,529	0,00000
226	401	7,248	19,430	0,00000
227	401	7,251	20,058	0,00000
228	400	7,202	20,381	0,00000
229	401	7,165	19,607	0,00000
230	401	7,111	18,550	0,00000
231	400	7,183	19,952	0,00000
232	400	7,172	19,258	0,00000
233	400	7,134	18,840	0,00000
234	400	7,164	18,095	0,00000
235	401	7,157	19,170	0,00000
236	402	7,157	17,525	0,00000
237	400	7,162	20,465	0,00000
238	400	7,157	17,905	0,00000
239	400	7,126	19,919	0,00000
240	401	7,205	20,373	0,00000
241	400	7,175	18,072	0,00000
242	401	7,116	17,289	0,00000
243	403	7,082	19,229	0,00000
244	400	7,075	18,327	0,00000
245	400	7,052	18,247	0,00000
246	401	7,033	17,528	0,00000
247	401	7,044	18,254	0,00000
248	401	7,033	16,054	0,00000
249	401	7,045	18,228	0,00000
250	401	7,062	18,001	0,00000
251	401	7,099	19,839	0,00000
252	400	7,090	19,955	0,00000
253	400	7,089	17,670	0,00000
254	400	7,106	17,495	0,00000
255	400	7,111	18,248	0,00000
256	401	7,136	22,047	0,00000
257	400	7,099	18,708	0,00000
258	400	7,092	18,822	0,00000
259	400	7,138	18,745	0,00000
260	400	7,110	18,780	0,00000
261	401	7,120	18,527	0,00000
262	402	7,115	18,797	0,00000
263	400	7,086	18,525	0,00000
264	400	7,081	19,752	0,00000
265	400	7,119	20,449	0,00000
266	401	7,092	18,493	0,00000
267	401	7,087	18,723	0,00000
268	401	7,081	17,689	0,00000
269	401	7,134	19,574	0,00000
270	402	7,127	19,263	0,00000
271	401	7,106	20,286	0,00000
272	400	7,139	20,304	0,00000
273	400	7,098	19,661	0,00000
274	401	7,118	19,331	0,00000
275	401	7,083	19,938	0,00000
276	403	7,059	19,680	0,00000
277	402	7,067	17,170	0,00000
278	401	7,075	18,514	0,00000
279	400	7,029	19,864	0,00000
280	401	7,062	19,092	0,00000
281	400	7,076	17,866	0,00000
282	401	7,095	18,733	0,00000
283	402	7,097	19,007	0,00000
284	400	7,058	19,602	0,00000
285	400	7,080	19,343	0,00000
286	403	7,055	18,391	0,00000
287	401	7,074	19,021	0,00000
288	403	7,034	18,396	0,00000
289	401	7,025	18,375	0,00000
290	400	7,034	19,296	0,00000
291	400	7,026	19,146	0,00000
292	402	7,041	19,336	0,00000
293	401	7,035	21,111	0,00000
294	400	7,017	18,126	0,00000
295	400	6,996	19,293	0,00000
296	400	6,990	19,818	0,00000
297	401	6,981	21,685	0,00000
298	400	6,948	20,013	0,00000
299	400	6,961	20,754	0,00000
300	401	6,969	20,682	0,00000
301	400	6,999	21,960	0,00000
302	401	7,030	19,226	0,00000
303	401	6,980	20,916	0,00000
304	401	6,961	19,440	0,00000
305	402	6,979	19,233	0,00000
306	400	7,003	18,718	0,00000
307	402	6,987	20,279	0,00000
308	400	6,979	20,621	0,00000
309	401	6,940	18,405	0,00000
310	400	6,987	20,899	0,00000
311	400	6,977	20,084	0,00000
312	401	7,028	23,998	0,00000
313	402	7,013	18,224	0,00000
314	402	6,991	19,091	0,00000
315	401	6,948	18,442	0,00000
316	402	6,961	19,300	0,00000
317	400	6,998	21,569	0,00000
318	401	7,045	21,584	0,00000
319	400	7,063	19,365	0,00000
