generation	repeats	mean	best	mutation rate
0	400	10,664	22,134	0,50000
1	401	10,418	23,444	0,50000
2	401	10,168	21,241	0,50000
3	400	10,012	23,323	0,50000
4	400	9,809	20,017	0,50000
5	400	9,674	19,052	0,50000
6	400	9,508	19,786	0,50000
7	401	9,385	18,305	0,50000
8	400	9,323	22,505	0,50000
9	400	9,240	19,567	0,50000
10	401	9,087	19,113	0,50000
11	400	9,030	17,613	0,50000
12	400	8,948	17,528	0,50000
13	400	8,798	18,186	0,50000
14	401	8,830	17,736	0,50000
15	400	8,768	18,150	0,50000
16	400	8,709	17,861	0,50000
17	400	8,697	19,839	0,50000
18	400	8,621	18,460	0,50000
19	401	8,586	17,172	0,50000
20	400	8,572	19,004	0,50000
21	400	8,552	19,970	0,50000
22	401	8,503	18,386	0,50000
23	400	8,461	22,834	0,50000
24	400	8,430	19,175	0,50000
25	400	8,365	18,215	0,50000
26	400	8,381	19,471	0,50000
27	401	8,344	21,658	0,50000
28	400	8,328	19,251	0,50000
29	400	8,207	15,970	0,50000
30	400	8,254	16,690	0,50000
31	400	8,244	20,160	0,50000
32	401	8,221	19,940	0,50000
33	401	8,282	18,899	0,50000
34	400	8,239	17,563	0,50000
35	400	8,130	18,328	0,50000
36	400	8,188	17,763	0,50000
37	400	8,139	17,579	0,50000
38	400	8,065	17,680	0,50000
39	400	8,077	17,558	0,50000
40	400	8,056	17,176	0,50000
41	400	8,141	17,112	0,50000
42	401	8,076	18,579	0,50000
43	400	8,058	16,665	0,50000
44	400	8,044	17,461	0,50000
45	401	8,093	17,386	0,50000
46	401	8,062	18,051	0,50000
47	400	8,068	19,111	0,50000
48	400	8,042	21,213	0,50000
49	400	7,999	16,451	0,50000
50	400	8,066	21,250	0,50000
51	400	8,009	21,058	0,50000
52	400	7,934	20,511	0,50000
53	400	7,934	16,724	0,50000
54	400	7,941	19,937	0,50000
55	400	8,008	16,868	0,50000
56	400	8,007	16,952	0,50000
57	400	7,932	16,162	0,50000
58	401	7,878	18,614	0,50000
59	400	7,896	19,610	0,50000
60	400	7,875	19,887	0,50000
61	401	7,945	18,454	0,50000
62	401	7,903	20,179	0,50000
63	400	7,907	17,391	0,50000
64	400	7,830	18,059	0,50000
65	400	7,881	19,938	0,50000
66	400	7,860	17,916	0,50000
67	400	7,868	18,384	0,50000
68	400	7,854	18,306	0,50000
69	400	7,903	16,575	0,50000
70	400	7,833	18,048	0,50000
71	401	7,824	20,699	0,50000
72	400	7,802	16,607	0,50000
73	400	7,837	17,842	0,50000
74	401	7,766	18,107	0,50000
75	400	7,829	18,919	0,50000
76	400	7,829	19,267	0,50000
77	400	7,843	16,847	0,50000
78	400	7,828	20,128	0,50000
79	400	7,851	19,750	0,50000
80	400	7,798	20,506	0,50000
81	401	7,832	18,630	0,50000
82	400	7,762	17,363	0,50000
83	400	7,763	17,620	0,50000
84	400	7,787	20,170	0,50000
85	400	7,756	19,365	0,50000
86	400	7,715	19,381	0,50000
87	401	7,680	18,373	0,50000
88	400	7,652	16,391	0,50000
89	400	7,560	17,750	0,50000
90	400	7,552	16,491	0,50000
91	400	7,604	18,633	0,50000
92	400	7,633	15,309	0,50000
93	400	7,664	20,306	0,50000
94	400	7,733	17,514	0,50000
95	400	7,584	16,019	0,50000
96	400	7,601	16,135	0,50000
97	401	7,541	18,969	0,50000
98	400	7,512	17,731	0,50000
99	400	7,515	16,603	0,50000
100	400	7,538	15,482	0,50000
101	400	7,591	18,035	0,50000
102	400	7,589	19,448	0,50000
103	401	7,601	19,133	0,50000
104	400	7,615	17,865	0,50000
105	400	7,646	20,526	0,50000
106	401	7,648	17,449	0,50000
107	401	7,620	18,900	0,50000
108	401	7,603	18,933	0,50000
109	400	7,629	18,682	0,50000
110	400	7,674	18,308	0,50000
111	400	7,600	20,116	0,50000
112	400	7,617	19,417	0,50000
113	400	7,570	17,804	0,50000
114	401	7,523	16,955	0,50000
115	400	7,482	16,835	0,50000
116	400	7,545	17,577	0,50000
117	400	7,526	17,061	0,50000
118	400	7,487	18,365	0,50000
119	400	7,555	15,981	0,50000
120	400	7,561	19,331	0,50000
121	400	7,502	17,340	0,50000
122	400	7,424	17,535	0,50000
123	400	7,446	20,525	0,50000
124	400	7,457	18,178	0,50000
125	401	7,422	18,105	0,50000
126	400	7,553	19,368	0,50000
127	400	7,547	17,555	0,50000
128	401	7,509	18,803	0,50000
129	400	7,501	18,931	0,50000
130	400	7,544	18,607	0,50000
131	400	7,514	17,043	0,50000
132	400	7,478	17,126	0,50000
133	400	7,451	17,048	0,50000
134	400	7,497	21,801	0,50000
135	400	7,450	19,925	0,50000
136	400	7,479	19,068	0,50000
137	400	7,459	16,066	0,50000
138	400	7,377	16,384	0,50000
139	400	7,417	18,024	0,50000
140	400	7,449	18,168	0,50000
141	400	7,477	17,023	0,50000
142	400	7,462	17,636	0,50000
143	400	7,415	14,947	0,50000
144	400	7,428	15,891	0,50000
145	400	7,393	16,211	0,50000
146	400	7,410	16,590	0,50000
147	400	7,414	19,911	0,50000
148	400	7,387	18,498	0,50000
149	400	7,454	17,906	0,50000
150	400	7,438	17,897	0,50000
151	400	7,373	15,964	0,50000
152	400	7,396	18,234	0,50000
153	400	7,391	16,836	0,50000
154	400	7,373	20,050	0,50000
155	400	7,413	19,227	0,50000
156	400	7,401	19,258	0,50000
157	401	7,435	19,059	0,50000
158	400	7,426	20,003	0,50000
159	401	7,408	20,015	0,50000
160	400	7,389	17,645	0,50000
161	400	7,411	19,682	0,50000
162	400	7,418	18,281	0,50000
163	401	7,430	20,708	0,50000
164	400	7,450	17,697	0,50000
165	400	7,416	16,957	0,50000
166	400	7,412	18,070	0,50000
167	400	7,372	17,694	0,50000
168	400	7,358	16,787	0,50000
169	400	7,327	17,613	0,50000
170	400	7,320	17,213	0,50000
171	400	7,369	17,060	0,50000
172	400	7,371	17,821	0,50000
173	400	7,320	20,010	0,50000
174	400	7,280	18,347	0,50000
175	401	7,313	18,621	0,50000
176	401	7,304	17,716	0,50000
177	400	7,372	17,733	0,50000
178	400	7,343	19,492	0,50000
179	400	7,321	17,409	0,50000
180	401	7,243	17,555	0,50000
181	400	7,301	17,021	0,50000
182	400	7,317	20,253	0,50000
183	400	7,278	17,709	0,50000
184	400	7,304	16,799	0,50000
185	400	7,320	16,770	0,50000
186	400	7,389	16,827	0,50000
187	401	7,338	18,880	0,50000
188	401	7,246	16,392	0,50000
189	401	7,307	18,367	0,50000
190	400	7,365	17,062	0,50000
191	400	7,233	17,901	0,50000
192	401	7,265	17,646	0,50000
193	400	7,258	16,456	0,50000
194	400	7,288	17,144	0,50000
195	400	7,311	18,511	0,50000
196	400	7,226	18,011	0,50000
197	400	7,296	17,873	0,50000
198	400	7,210	17,099	0,50000
199	400	7,319	17,924	0,50000
200	400	7,273	16,985	0,50000
201	400	7,315	17,221	0,50000
