generation	repeats	mean	best	mutation rate
0	400	10,740	21,627	0,10000
1	401	10,633	22,140	0,10000
2	402	10,651	25,424	0,10000
3	401	10,564	25,843	0,10000
4	400	10,490	25,246	0,10000
5	400	10,386	23,729	0,10000
6	400	10,272	23,953	0,10000
7	400	10,139	23,954	0,10000
8	401	10,027	25,708	0,10000
9	401	9,940	22,775	0,10000
10	401	9,878	22,641	0,10000
11	402	9,799	23,679	0,10000
12	400	9,742	23,093	0,10000
13	400	9,728	25,251	0,10000
14	401	9,617	23,219	0,10000
15	402	9,565	22,489	0,10000
16	400	9,537	21,630	0,10000
17	400	9,439	20,793	0,10000
18	402	9,378	22,239	0,10000
19	400	9,359	24,653	0,10000
20	401	9,333	21,826	0,10000
21	401	9,285	23,142	0,10000
22	407	9,190	26,456	0,10000
23	402	9,115	22,089	0,10000
24	401	9,054	23,425	0,10000
25	400	9,004	20,093	0,10000
26	403	9,004	20,401	0,10000
27	404	8,987	22,026	0,10000
28	401	8,957	21,649	0,10000
29	401	8,949	23,640	0,10000
30	402	8,869	22,113	0,10000
31	402	8,853	22,050	0,10000
32	401	8,852	23,290	0,10000
33	400	8,876	24,903	0,10000
34	402	8,804	22,742	0,10000
35	403	8,751	19,805	0,10000
36	404	8,659	21,556	0,10000
37	402	8,597	20,080	0,10000
38	401	8,560	19,073	0,10000
39	401	8,601	24,026	0,10000
40	401	8,547	20,437	0,10000
41	402	8,518	21,800	0,10000
42	400	8,465	19,712	0,10000
43	402	8,451	20,297	0,10000
44	402	8,407	17,595	0,10000
45	401	8,379	18,293	0,10000
46	401	8,342	20,284	0,10000
47	400	8,387	20,424	0,10000
48	403	8,378	20,195	0,10000
49	401	8,357	20,994	0,10000
50	402	8,337	20,046	0,10000
51	400	8,286	22,532	0,10000
52	402	8,293	21,816	0,10000
53	401	8,300	20,697	0,10000
54	401	8,258	18,840	0,10000
55	400	8,271	21,587	0,10000
56	400	8,255	23,021	0,10000
57	406	8,189	21,907	0,10000
58	401	8,173	18,859	0,10000
59	403	8,181	21,857	0,10000
60	403	8,167	21,587	0,10000
61	403	8,160	18,634	0,10000
62	402	8,101	18,494	0,10000
