generation	repeats	mean	best	mutation rate
0	500	10,889	22,819	0,10000
1	500	10,735	21,885	0,10000
2	500	10,671	23,070	0,10000
3	500	10,650	23,012	0,10000
4	500	10,467	23,606	0,10000
5	500	10,428	26,505	0,10000
6	500	10,333	26,854	0,10000
7	500	10,149	26,857	0,10000
8	500	10,074	24,300	0,10000
9	500	9,979	25,854	0,10000
10	500	9,910	23,898	0,10000
11	500	9,869	25,794	0,10000
12	500	9,784	22,961	0,10000
13	500	9,737	20,114	0,10000
14	500	9,645	21,105	0,10000
15	500	9,561	22,368	0,10000
16	500	9,511	20,948	0,10000
17	500	9,451	22,332	0,10000
18	500	9,412	21,070	0,10000
19	500	9,341	20,989	0,10000
20	500	9,250	21,819	0,10000
21	500	9,275	21,865	0,10000
22	500	9,223	24,503	0,10000
23	500	9,161	22,301	0,10000
24	500	9,105	24,348	0,10000
25	500	9,022	24,194	0,10000
26	500	8,989	21,580	0,10000
27	500	8,964	22,472	0,10000
28	500	8,904	19,867	0,10000
29	500	8,872	19,245	0,10000
30	500	8,865	20,780	0,10000
31	500	8,763	21,465	0,10000
32	500	8,679	19,997	0,10000
33	500	8,641	21,301	0,10000
34	500	8,609	22,148	0,10000
35	500	8,616	24,414	0,10000
36	500	8,586	19,778	0,10000
37	500	8,558	20,735	0,10000
38	500	8,523	20,297	0,10000
39	500	8,507	23,397	0,10000
40	500	8,481	21,016	0,10000
41	500	8,399	19,686	0,10000
42	500	8,371	19,584	0,10000
43	500	8,346	20,878	0,10000
44	500	8,346	23,609	0,10000
45	500	8,297	21,315	0,10000
46	500	8,310	20,669	0,10000
47	500	8,274	19,713	0,10000
48	500	8,247	18,334	0,10000
49	500	8,237	19,254	0,10000
50	500	8,214	19,690	0,10000
51	500	8,243	20,138	0,10000
52	500	8,247	19,840	0,10000
53	500	8,269	18,803	0,10000
54	500	8,253	19,850	0,10000
55	500	8,220	21,648	0,10000
56	500	8,197	24,798	0,10000
57	500	8,153	22,308	0,10000
58	500	8,141	21,350	0,10000
59	500	8,131	23,935	0,10000
60	500	8,144	24,627	0,10000
61	500	8,194	22,920	0,10000
62	500	8,178	20,602	0,10000
63	500	8,139	20,187	0,10000
64	500	8,124	19,227	0,10000
65	500	8,153	20,695	0,10000
66	500	8,114	22,145	0,10000
67	500	8,083	20,545	0,10000
68	500	8,058	19,699	0,10000
69	500	8,080	21,639	0,10000
70	500	8,077	20,917	0,10000
71	500	8,039	21,608	0,10000
72	500	8,052	21,634	0,10000
73	500	8,035	20,626	0,10000
74	500	8,036	24,207	0,10000
75	500	7,978	23,118	0,10000
76	500	7,943	19,194	0,10000
77	500	7,974	19,127	0,10000
78	500	7,933	20,427	0,10000
79	500	7,929	18,056	0,10000
80	500	7,927	18,565	0,10000
81	500	7,897	19,467	0,10000
82	500	7,838	19,262	0,10000
83	500	7,873	18,951	0,10000
84	500	7,778	18,800	0,10000
85	500	7,836	23,475	0,10000
86	500	7,857	25,165	0,10000
87	500	7,805	20,422	0,10000
88	500	7,818	20,294	0,10000
89	500	7,828	19,254	0,10000
90	500	7,820	19,353	0,10000
91	500	7,837	20,585	0,10000
92	500	7,804	19,180	0,10000
93	500	7,788	19,640	0,10000
94	500	7,733	17,351	0,10000
95	500	7,739	17,968	0,10000
96	500	7,751	18,389	0,10000
97	500	7,808	18,163	0,10000
98	500	7,809	19,587	0,10000
99	500	7,799	20,253	0,10000
100	500	7,752	19,180	0,10000
101	500	7,776	22,243	0,10000
102	500	7,772	22,118	0,10000
103	500	7,751	17,605	0,10000
104	500	7,744	18,294	0,10000
105	500	7,732	19,596	0,10000
106	500	7,679	18,537	0,10000
107	500	7,667	18,516	0,10000
108	500	7,637	17,943	0,10000
109	500	7,689	19,523	0,10000
110	500	7,671	20,965	0,10000
111	500	7,652	17,973	0,10000
112	500	7,632	19,535	0,10000
113	500	7,648	19,333	0,10000
114	500	7,614	19,245	0,10000
115	500	7,611	19,522	0,10000
