generation	repeats	mean	best	mutation rate
187	1	11,212	17,588	0,00000
188	0	11,160	18,320	0,00000
189	0	11,367	19,515	0,00000
190	0	11,337	21,363	0,00000
191	0	11,699	16,846	0,00000
192	0	11,627	18,799	0,00000
193	0	11,617	21,409	0,00000
194	0	11,350	16,796	0,00000
195	1	11,457	17,620	0,00000
196	0	11,405	18,724	0,00000
197	0	11,190	16,204	0,00000
198	0	11,245	18,159	0,00000
199	0	10,890	14,834	0,00000
200	0	11,179	19,221	0,00000
201	0	11,441	18,064	0,00000
202	0	11,557	18,607	0,00000
203	0	11,367	17,700	0,00000
204	1	11,099	18,823	0,00000
205	0	11,049	19,627	0,00000
206	0	11,189	20,799	0,00000
207	0	11,046	18,379	0,00000
208	0	11,121	17,235	0,00000
209	0	11,197	19,074	0,00000
210	0	11,225	17,536	0,00000
211	2	11,212	17,968	0,00000
212	1	10,888	16,408	0,00000
213	0	11,157	17,842	0,00000
214	1	10,882	17,897	0,00000
215	0	10,811	16,989	0,00000
216	0	11,149	17,615	0,00000
217	0	11,201	17,827	0,00000
218	1	11,335	18,576	0,00000
219	0	11,311	17,514	0,00000
220	0	11,546	19,437	0,00000
221	0	11,584	16,914	0,00000
222	1	11,405	18,943	0,00000
223	1	11,363	19,066	0,00000
224	1	11,086	16,572	0,00000
225	0	11,390	20,216	0,00000
226	0	11,608	19,402	0,00000
227	0	11,637	18,298	0,00000
228	0	11,313	18,184	0,00000
229	0	11,355	20,280	0,00000
230	0	10,872	18,222	0,00000
231	1	10,869	18,386	0,00000
232	0	10,893	19,994	0,00000
233	1	11,011	20,073	0,00000
234	0	11,158	19,597	0,00000
235	0	10,960	17,995	0,00000
236	2	10,834	17,701	0,00000
237	0	10,764	16,781	0,00000
238	0	11,154	16,784	0,00000
239	0	11,635	17,854	0,00000
240	0	11,619	16,698	0,00000
241	1	11,563	17,427	0,00000
242	0	11,841	18,576	0,00000
243	0	11,434	16,956	0,00000
244	0	11,651	18,179	0,00000
245	0	11,639	18,942	0,00000
246	1	11,566	18,943	0,00000
247	1	11,621	19,224	0,00000
248	0	10,908	16,792	0,00000
249	0	11,084	18,150	0,00000
250	0	11,375	19,282	0,00000
251	0	11,389	19,032	0,00000
252	0	11,007	20,699	0,00000
253	1	10,954	16,424	0,00000
254	0	11,083	19,023	0,00000
255	0	11,387	19,064	0,00000
256	0	11,244	17,114	0,00000
257	0	11,117	17,005	0,00000
258	0	11,021	15,975	0,00000
259	1	10,522	15,608	0,00000
260	1	10,305	15,753	0,00000
261	0	10,702	18,764	0,00000
262	1	11,028	18,384	0,00000
263	0	10,889	16,621	0,00000
264	0	10,823	16,119	0,00000
265	0	10,808	17,717	0,00000
266	1	10,515	15,838	0,00000
267	0	10,854	18,414	0,00000
268	1	10,732	19,055	0,00000
269	0	10,858	19,424	0,00000
270	0	10,895	19,170	0,00000
271	0	11,008	17,789	0,00000
272	0	10,935	17,117	0,00000
273	0	10,939	18,641	0,00000
274	0	10,735	17,345	0,00000
275	0	10,721	16,533	0,00000
276	0	10,964	16,923	0,00000
277	0	11,126	17,248	0,00000
278	1	11,015	17,161	0,00000
279	1	11,302	19,397	0,00000
280	2	11,008	18,871	0,00000
281	1	10,904	19,417	0,00000
282	0	10,863	18,114	0,00000
283	1	10,929	19,557	0,00000
284	1	11,068	17,911	0,00000
285	0	11,097	18,206	0,00000
286	0	10,972	17,563	0,00000
287	0	10,975	17,378	0,00000
288	1	11,048	17,322	0,00000
289	1	11,221	17,316	0,00000
290	0	11,050	15,864	0,00000
291	0	11,618	18,448	0,00000
292	0	11,332	18,945	0,00000
293	1	11,357	18,657	0,00000
294	0	11,303	17,814	0,00000
295	2	11,236	18,659	0,00000
296	0	11,251	19,660	0,00000
297	0	11,259	17,976	0,00000
298	0	11,126	17,733	0,00000
299	0	11,279	17,105	0,00000
300	0	11,346	17,577	0,00000
301	0	11,291	18,469	0,00000
302	0	11,321	17,641	0,00000
303	1	11,321	16,587	0,00000
304	0	11,785	18,970	0,00000
305	0	11,802	20,085	0,00000
306	0	11,608	17,140	0,00000
307	0	11,378	18,683	0,00000
308	0	11,143	19,738	0,00000
309	0	11,295	17,295	0,00000
310	2	11,341	17,486	0,00000
311	1	11,322	17,528	0,00000
312	1	11,448	19,617	0,00000
313	0	11,102	15,868	0,00000
314	1	11,140	16,815	0,00000
315	0	11,192	19,910	0,00000
316	0	11,739	17,376	0,00000
317	1	11,495	17,567	0,00000
318	0	11,221	20,181	0,00000
319	0	11,532	19,465	0,00000
320	2	11,584	20,042	0,00000
321	0	11,561	17,299	0,00000
322	0	11,507	17,518	0,00000
323	1	11,713	17,841	0,00000
324	1	11,990	18,979	0,00000
325	1	11,842	21,462	0,00000
326	0	12,038	20,190	0,00000
327	1	11,483	18,202	0,00000
328	0	11,162	21,551	0,00000
329	0	11,063	19,387	0,00000
330	1	11,006	19,120	0,00000
331	1	11,265	20,744	0,00000
