generation	repeats	mean	best	mutation rate
187	404	7,223	19,401	0,10000
188	400	7,213	19,329	0,10000
189	401	7,226	18,541	0,10000
190	403	7,163	18,311	0,10000
191	400	7,160	16,716	0,10000
192	402	7,169	17,755	0,10000
193	401	7,225	20,618	0,10000
194	403	7,245	21,268	0,10000
195	401	7,195	20,786	0,10000
196	402	7,215	22,052	0,10000
197	400	7,241	17,484	0,10000
198	402	7,254	18,606	0,10000
199	402	7,270	17,631	0,10000
200	404	7,232	19,480	0,10000
201	400	7,231	17,505	0,10000
202	403	7,241	17,878	0,10000
203	403	7,226	16,842	0,10000
204	403	7,182	18,031	0,10000
205	405	7,155	19,135	0,10000
206	402	7,187	18,300	0,10000
207	400	7,171	18,548	0,10000
208	400	7,216	19,965	0,10000
209	403	7,234	20,147	0,10000
210	402	7,179	18,218	0,10000
211	402	7,148	18,666	0,10000
212	401	7,170	19,427	0,10000
213	401	7,201	17,963	0,10000
214	402	7,177	17,529	0,10000
215	401	7,160	18,588	0,10000
216	403	7,150	17,902	0,10000
217	403	7,126	17,908	0,10000
218	400	7,159	18,557	0,10000
219	402	7,139	16,951	0,10000
220	401	7,059	17,437	0,10000
221	403	7,093	18,165	0,10000
222	408	7,127	19,004	0,10000
223	400	7,153	18,768	0,10000
224	403	7,144	17,927	0,10000
225	402	7,160	17,470	0,10000
226	406	7,174	17,958	0,10000
227	401	7,147	19,031	0,10000
228	401	7,133	18,516	0,10000
229	401	7,074	18,387	0,10000
230	400	7,092	17,418	0,10000
231	402	7,084	15,858	0,10000
232	400	7,083	18,383	0,10000
233	401	7,107	19,298	0,10000
234	400	7,128	20,260	0,10000
235	403	7,132	22,222	0,10000
236	401	7,103	19,611	0,10000
237	400	7,126	20,701	0,10000
238	401	7,098	19,388	0,10000
239	400	7,119	17,864	0,10000
240	400	7,110	18,116	0,10000
241	400	7,096	19,664	0,10000
242	400	7,107	18,905	0,10000
243	401	7,118	21,692	0,10000
244	402	7,104	19,719	0,10000
245	401	7,056	17,600	0,10000
246	403	7,034	19,163	0,10000
247	402	6,997	18,502	0,10000
248	404	7,027	20,949	0,10000
249	402	7,055	20,751	0,10000
250	401	7,078	18,958	0,10000
251	401	7,071	18,456	0,10000
252	401	7,056	18,024	0,10000
253	400	7,051	18,807	0,10000
254	403	7,068	18,452	0,10000
255	403	7,053	17,810	0,10000
256	401	7,066	19,651	0,10000
257	401	7,042	19,972	0,10000
258	403	7,066	19,581	0,10000
259	401	7,024	19,724	0,10000
260	403	7,038	20,372	0,10000
261	401	7,004	17,982	0,10000
262	402	7,034	16,994	0,10000
263	401	7,066	17,300	0,10000
264	402	7,083	17,280	0,10000
265	402	7,065	20,178	0,10000
266	402	7,049	19,617	0,10000
267	402	7,034	17,960	0,10000
268	401	7,035	18,644	0,10000
269	400	7,079	18,133	0,10000
270	403	7,083	20,532	0,10000
271	402	7,076	20,191	0,10000
272	403	7,021	17,927	0,10000
273	404	7,055	19,218	0,10000
274	401	7,052	18,759	0,10000
275	403	7,049	19,617	0,10000
276	401	7,062	19,582	0,10000
277	404	7,035	18,065	0,10000
278	401	7,052	18,531	0,10000
279	400	7,042	19,735	0,10000
280	403	7,055	18,842	0,10000
281	401	7,036	20,644	0,10000
282	402	7,002	18,458	0,10000
283	402	7,018	20,284	0,10000
284	401	7,052	19,585	0,10000
285	402	7,009	22,084	0,10000
286	407	7,047	19,082	0,10000
287	401	7,005	19,773	0,10000
288	400	6,953	20,674	0,10000
289	403	7,004	20,189	0,10000
290	400	6,996	21,265	0,10000
291	402	7,029	22,636	0,10000
292	406	7,069	25,151	0,10000
293	400	7,091	24,437	0,10000
294	401	7,104	23,106	0,10000
295	401	7,060	19,807	0,10000
296	401	7,059	20,398	0,10000
297	401	7,028	19,701	0,10000
298	401	6,968	19,132	0,10000
299	400	6,980	18,117	0,10000
300	400	7,024	19,369	0,10000
301	401	6,981	20,738	0,10000
302	400	6,966	19,541	0,10000
303	401	6,983	18,195	0,10000
304	401	6,996	19,615	0,10000
305	402	6,968	17,632	0,10000
306	401	6,996	18,901	0,10000
307	403	6,979	19,287	0,10000
308	403	6,974	20,178	0,10000
309	400	6,933	20,923	0,10000
310	403	6,927	18,626	0,10000
311	402	6,948	19,827	0,10000
312	400	6,929	19,943	0,10000
313	401	6,928	19,188	0,10000
314	400	6,923	21,553	0,10000
315	403	6,950	16,368	0,10000
316	401	6,905	21,154	0,10000
317	401	6,942	18,949	0,10000
318	401	6,906	16,899	0,10000
319	403	6,922	17,469	0,10000
320	402	6,931	17,469	0,10000
321	401	6,917	18,486	0,10000
322	402	6,934	16,805	0,10000
323	400	6,917	19,736	0,10000
324	401	6,898	18,427	0,10000
325	401	6,904	19,375	0,10000
326	405	6,906	17,978	0,10000
327	400	6,931	17,634	0,10000
328	402	6,907	17,589	0,10000
329	402	6,895	23,319	0,10000
330	403	6,927	20,492	0,10000
331	400	6,937	19,346	0,10000
332	401	6,913	18,836	0,10000
333	403	6,951	20,116	0,10000
334	401	6,927	19,606	0,10000
335	401	6,953	19,008	0,10000
336	403	6,930	17,567	0,10000
337	400	6,884	19,446	0,10000
338	401	6,896	17,984	0,10000
339	402	6,942	18,489	0,10000
340	403	6,888	16,645	0,10000
341	402	6,920	16,554	0,10000
342	400	6,929	20,089	0,10000
343	403	6,962	21,483	0,10000
344	401	6,964	23,153	0,10000
345	400	6,953	18,984	0,10000
346	403	6,902	20,781	0,10000
347	403	6,806	17,495	0,10000
348	403	6,874	21,460	0,10000
349	402	6,898	19,290	0,10000
350	401	6,919	20,882	0,10000
351	402	6,919	18,264	0,10000
352	403	6,916	17,130	0,10000
353	402	6,972	18,947	0,10000
354	402	6,955	17,762	0,10000
355	403	6,987	18,263	0,10000
356	400	6,950	18,804	0,10000
357	401	6,904	17,611	0,10000
358	401	6,907	17,849	0,10000
359	401	6,888	18,089	0,10000
360	402	6,887	17,923	0,10000
361	400	6,883	18,475	0,10000
362	403	6,899	18,054	0,10000
363	402	6,864	17,586	0,10000
364	402	6,912	18,892	0,10000
365	401	6,895	19,901	0,10000
366	401	6,904	17,629	0,10000
367	400	6,921	19,289	0,10000
368	402	6,900	18,741	0,10000
369	401	6,895	19,834	0,10000
370	402	6,939	18,863	0,10000
371	404	6,915	18,287	0,10000
372	401	6,902	19,407	0,10000
373	402	6,873	18,305	0,10000
374	402	6,881	19,941	0,10000
375	407	6,855	17,427	0,10000
376	400	6,849	18,119	0,10000
377	404	6,871	17,812	0,10000
378	401	6,844	18,115	0,10000
379	401	6,842	17,858	0,10000
380	400	6,825	18,394	0,10000
381	403	6,824	18,108	0,10000
382	402	6,819	17,446	0,10000
383	405	6,823	16,749	0,10000
384	400	6,853	19,350	0,10000
385	400	6,851	18,578	0,10000
386	400	6,852	17,200	0,10000
387	403	6,869	18,380	0,10000
388	402	6,908	17,950	0,10000
389	403	6,900	18,094	0,10000
390	402	6,917	19,411	0,10000
391	401	6,918	18,436	0,10000
392	401	6,918	20,835	0,10000
393	401	6,927	19,912	0,10000
394	402	6,920	20,274	0,10000
395	403	6,955	21,413	0,10000
396	403	6,936	19,326	0,10000
397	400	6,923	19,327	0,10000
398	400	6,940	19,943	0,10000
399	403	6,937	19,217	0,10000
400	405	6,926	18,323	0,10000
401	401	6,868	18,252	0,10000
402	401	6,866	18,936	0,10000
