generation	repeats	mean	best	mutation rate
0	401	12,171	22,549	0,10000
1	404	13,230	26,831	0,10000
2	401	14,263	25,899	0,10000
3	404	15,640	26,533	0,10000
4	403	16,794	27,968	0,10000
5	401	17,980	28,127	0,10000
6	400	18,941	30,201	0,10000
7	404	19,956	29,219	0,10000
8	402	20,831	29,379	0,10000
9	403	21,561	30,306	0,10000
10	405	22,409	30,745	0,10000
11	402	23,164	31,235	0,10000
12	404	23,633	31,340	0,10000
13	403	23,916	32,450	0,10000
14	405	24,234	32,012	0,10000
15	405	24,623	31,440	0,10000
16	403	24,985	31,726	0,10000
17	401	25,179	32,430	0,10000
18	401	25,536	32,324	0,10000
19	402	25,772	32,045	0,10000
20	406	26,477	32,211	0,10000
21	412	26,974	32,354	0,10000
22	415	26,952	32,354	0,10000
23	412	27,071	32,371	0,10000
24	417	27,107	32,327	0,10000
25	411	27,042	32,513	0,10000
26	406	27,357	32,327	0,10000
27	409	27,292	32,327	0,10000
28	405	27,287	32,327	0,10000
29	408	27,727	32,327	0,10000
30	414	27,578	32,327	0,10000
31	403	27,568	32,327	0,10000
32	406	27,694	32,327	0,10000
33	407	27,524	32,327	0,10000
34	404	27,662	32,748	0,10000
35	405	27,568	32,327	0,10000
36	408	28,139	32,327	0,10000
37	413	27,967	32,061	0,10000
38	412	27,951	32,061	0,10000
39	414	27,885	32,513	0,10000
40	420	27,887	32,538	0,10000
41	415	27,849	32,110	0,10000
42	412	27,991	32,110	0,10000
43	405	27,895	32,061	0,10000
44	408	28,019	32,639	0,10000
45	410	27,868	32,639	0,10000
46	406	28,054	32,639	0,10000
47	407	27,837	32,639	0,10000
48	408	27,760	32,639	0,10000
49	415	28,066	32,747	0,10000
50	414	28,007	32,747	0,10000
51	410	27,899	32,747	0,10000
52	407	28,055	32,747	0,10000
53	411	28,062	32,747	0,10000
54	405	28,044	32,747	0,10000
55	407	28,152	32,747	0,10000
56	407	28,198	32,747	0,10000
57	410	28,338	32,747	0,10000
58	416	28,467	32,747	0,10000
59	409	28,299	32,747	0,10000
60	411	28,575	32,847	0,10000
61	409	28,498	32,847	0,10000
62	410	28,378	32,794	0,10000
63	405	28,421	32,747	0,10000
64	407	28,417	32,747	0,10000
65	408	28,530	32,747	0,10000
66	403	28,760	32,747	0,10000
67	409	28,819	32,747	0,10000
68	406	28,852	32,747	0,10000
69	409	28,649	32,747	0,10000
70	404	28,712	32,747	0,10000
71	411	28,712	32,747	0,10000
72	409	28,780	32,747	0,10000
73	405	28,846	32,910	0,10000
74	407	28,941	32,747	0,10000
75	412	29,014	32,747	0,10000
76	412	28,917	32,747	0,10000
77	405	28,905	32,747	0,10000
78	407	29,022	32,747	0,10000
79	407	29,143	32,747	0,10000
80	408	29,045	32,747	0,10000
81	415	29,129	32,747	0,10000
82	413	29,319	32,747	0,10000
83	411	29,510	32,747	0,10000
84	412	29,222	32,747	0,10000
85	414	29,215	32,747	0,10000
86	410	29,498	32,747	0,10000
87	412	29,291	32,747	0,10000
88	406	29,132	32,747	0,10000
89	415	29,083	32,747	0,10000
90	410	29,430	32,747	0,10000
91	405	29,364	32,747	0,10000
92	409	29,263	32,747	0,10000
93	409	29,353	32,747	0,10000
94	407	29,393	32,747	0,10000
95	405	29,305	32,747	0,10000
96	405	29,182	32,747	0,10000
97	406	29,354	32,747	0,10000
98	407	29,265	32,747	0,10000
99	405	29,469	32,747	0,10000
100	406	29,432	32,747	0,10000
101	407	29,333	32,747	0,10000
102	408	29,629	32,747	0,10000
103	403	29,400	32,747	0,10000
104	404	29,425	32,747	0,10000
105	405	29,277	32,747	0,10000
106	410	29,687	32,747	0,10000
107	417	29,713	32,747	0,10000
108	417	29,790	32,747	0,10000
109	414	29,818	32,747	0,10000
110	415	29,650	32,747	0,10000
111	414	29,502	32,747	0,10000
112	414	29,808	32,961	0,10000
113	406	29,489	32,747	0,10000
114	408	29,486	32,747	0,10000
115	408	29,457	32,747	0,10000
116	414	29,573	32,747	0,10000
117	404	29,613	32,747	0,10000
118	404	29,912	32,747	0,10000
119	410	30,077	32,747	0,10000
120	415	30,175	33,016	0,10000
121	408	30,028	32,747	0,10000
122	406	30,020	32,747	0,10000
123	408	30,052	32,747	0,10000
124	406	29,803	32,747	0,10000
125	406	29,748	33,016	0,10000
126	408	29,899	32,747	0,10000
127	407	30,003	33,016	0,10000
128	406	30,038	32,986	0,10000
129	407	29,838	32,986	0,10000
130	409	29,932	32,986	0,10000
131	410	29,854	32,986	0,10000
132	407	29,719	32,986	0,10000
133	406	29,772	32,986	0,10000
134	411	29,939	32,986	0,10000
135	414	30,090	32,986	0,10000
136	423	30,027	32,986	0,10000
137	412	30,063	32,986	0,10000
138	412	29,953	32,986	0,10000
139	410	29,952	32,986	0,10000
140	405	30,055	32,986	0,10000
141	410	30,232	32,986	0,10000
142	408	30,166	32,986	0,10000
143	413	30,066	32,986	0,10000
144	410	29,996	32,986	0,10000
145	404	29,782	32,986	0,10000
146	407	29,933	32,986	0,10000
147	405	29,853	32,986	0,10000
148	410	30,106	32,986	0,10000
149	406	30,022	32,986	0,10000
150	409	30,023	32,986	0,10000
151	408	30,036	32,986	0,10000
152	407	30,152	32,986	0,10000
153	409	30,251	32,986	0,10000
154	408	30,188	32,986	0,10000
155	406	30,042	32,986	0,10000
156	406	30,028	32,986	0,10000
157	404	30,180	32,986	0,10000
158	411	30,335	32,986	0,10000
159	408	30,268	32,986	0,10000
160	411	30,139	32,986	0,10000
161	415	30,118	33,021	0,10000
162	409	30,234	32,986	0,10000
163	405	30,221	32,986	0,10000
164	408	30,203	32,986	0,10000
165	406	30,040	32,986	0,10000
166	409	30,061	32,986	0,10000
167	404	30,129	32,986	0,10000
168	404	30,088	32,986	0,10000
169	403	30,169	32,986	0,10000
170	409	30,466	32,986	0,10000
171	412	30,342	32,986	0,10000
172	402	30,251	32,986	0,10000
173	414	30,379	32,986	0,10000
174	410	30,229	32,986	0,10000
175	410	30,408	32,986	0,10000
176	411	30,295	32,986	0,10000
177	412	30,260	32,986	0,10000
178	407	30,204	32,986	0,10000
179	406	30,222	32,986	0,10000
180	404	30,264	32,986	0,10000
181	404	30,191	32,986	0,10000
182	404	30,221	32,986	0,10000
183	407	30,098	32,986	0,10000
184	408	30,030	32,986	0,10000
185	406	29,978	32,986	0,10000
186	404	30,151	32,986	0,10000
187	410	30,135	32,986	0,10000
188	416	30,224	32,986	0,10000
189	409	30,330	32,986	0,10000
190	411	30,468	32,986	0,10000
191	410	30,586	32,986	0,10000
192	415	30,301	32,986	0,10000
193	406	30,142	32,986	0,10000
194	411	30,227	32,986	0,10000
195	413	30,311	32,986	0,10000
196	415	30,349	32,986	0,10000
197	415	30,407	32,986	0,10000
198	409	30,505	32,986	0,10000
199	406	30,319	32,996	0,10000
200	413	30,409	32,986	0,10000
201	409	30,171	32,986	0,10000
202	405	30,350	32,986	0,10000
203	406	30,311	32,986	0,10000
204	408	30,568	32,986	0,10000
205	414	30,439	32,986	0,10000
206	413	30,397	32,986	0,10000
207	413	30,509	32,986	0,10000
208	411	30,346	32,986	0,10000
209	415	30,374	32,986	0,10000
210	419	30,447	32,986	0,10000
211	414	30,257	32,986	0,10000
212	409	30,420	33,021	0,10000
213	416	30,277	32,986	0,10000
214	408	30,142	32,986	0,10000
215	406	30,147	32,986	0,10000
216	406	30,270	32,986	0,10000
217	408	30,653	32,986	0,10000
218	412	30,355	32,986	0,10000
219	406	30,281	32,986	0,10000
220	407	30,251	32,986	0,10000
221	409	30,195	32,986	0,10000
222	406	30,347	32,986	0,10000
223	404	30,344	32,986	0,10000
224	410	30,352	33,012	0,10000
225	406	30,373	32,986	0,10000
226	404	30,505	32,986	0,10000
227	411	30,469	32,986	0,10000
228	408	30,482	32,986	0,10000
229	410	30,320	32,986	0,10000
230	408	30,269	32,986	0,10000
231	405	30,408	32,986	0,10000
232	407	30,661	32,986	0,10000
233	418	30,564	32,986	0,10000
234	416	30,413	32,986	0,10000
235	406	30,480	32,986	0,10000
236	409	30,464	32,986	0,10000
237	418	30,172	32,986	0,10000
238	412	30,294	32,986	0,10000
239	407	30,353	32,986	0,10000
240	408	30,316	32,986	0,10000
241	403	30,326	32,986	0,10000
242	409	30,276	32,986	0,10000
243	413	30,301	32,986	0,10000
244	409	30,267	32,986	0,10000
245	404	30,361	32,986	0,10000
246	405	30,425	32,986	0,10000
247	405	30,398	32,986	0,10000
248	405	30,435	32,986	0,10000
249	405	30,261	32,986	0,10000
250	412	30,423	32,986	0,10000
251	411	30,507	32,986	0,10000
252	411	30,482	32,986	0,10000
253	413	30,393	32,986	0,10000
254	406	30,488	32,986	0,10000
255	406	30,548	32,986	0,10000
256	407	30,536	32,986	0,10000
257	409	30,389	32,986	0,10000
258	411	30,371	32,986	0,10000
259	405	30,342	32,986	0,10000
260	408	30,653	32,986	0,10000
261	408	30,525	32,986	0,10000
262	405	30,384	32,986	0,10000
263	413	30,731	32,986	0,10000
264	406	30,696	32,986	0,10000
265	409	30,635	32,986	0,10000
266	415	30,384	32,986	0,10000
267	407	30,375	32,986	0,10000
268	408	30,608	32,986	0,10000
269	409	30,502	32,986	0,10000
270	406	30,500	32,986	0,10000
271	411	30,589	32,986	0,10000
272	406	30,523	32,986	0,10000
273	411	30,787	32,986	0,10000
274	422	30,651	32,986	0,10000
275	414	30,597	32,986	0,10000
276	414	30,608	32,986	0,10000
277	412	30,528	32,986	0,10000
278	413	30,515	32,986	0,10000
279	405	30,412	32,986	0,10000
280	413	30,546	33,007	0,10000
281	407	30,616	33,007	0,10000
282	411	30,491	32,986	0,10000
283	413	30,434	32,986	0,10000
284	406	30,786	32,986	0,10000
285	413	30,589	32,986	0,10000
286	405	30,628	32,986	0,10000
287	407	30,414	32,986	0,10000
288	407	30,497	32,986	0,10000
289	413	30,537	32,986	0,10000
290	408	30,668	33,007	0,10000
291	412	30,382	32,986	0,10000
292	408	30,577	32,986	0,10000
293	417	30,332	32,986	0,10000
294	402	30,177	32,986	0,10000
295	404	30,288	32,986	0,10000
296	402	30,367	32,986	0,10000
297	402	30,265	32,986	0,10000
298	406	30,384	32,986	0,10000
299	404	30,564	32,986	0,10000
300	409	30,330	32,986	0,10000
301	401	30,548	32,986	0,10000
302	410	30,775	32,986	0,10000
303	423	30,560	32,986	0,10000
304	407	30,443	32,986	0,10000
305	403	30,429	32,986	0,10000
306	406	30,508	32,986	0,10000
307	414	30,334	32,986	0,10000
308	404	30,365	32,986	0,10000
309	406	30,307	32,986	0,10000
310	405	30,255	32,986	0,10000
311	408	30,785	32,986	0,10000
312	417	30,545	32,986	0,10000
313	418	30,680	32,986	0,10000
314	406	30,660	32,986	0,10000
315	407	30,583	32,986	0,10000
316	406	30,461	32,986	0,10000
317	411	30,712	32,986	0,10000
318	406	30,652	32,986	0,10000
319	410	30,461	32,986	0,10000
320	411	30,185	32,986	0,10000
321	407	30,424	32,986	0,10000
322	406	30,472	32,986	0,10000
323	406	30,532	32,986	0,10000
324	406	30,397	32,986	0,10000
325	405	30,374	32,986	0,10000
326	406	30,201	32,986	0,10000
327	404	30,278	32,986	0,10000
328	407	30,445	32,986	0,10000
329	403	30,506	32,986	0,10000
330	403	30,541	32,986	0,10000
331	404	30,462	32,986	0,10000
332	407	30,522	32,986	0,10000
333	404	30,501	32,986	0,10000
334	406	30,503	32,986	0,10000
335	406	30,563	32,986	0,10000
336	406	30,508	32,986	0,10000
337	409	30,505	32,986	0,10000
338	407	30,480	33,017	0,10000
339	404	30,474	32,986	0,10000
340	406	30,590	33,017	0,10000
341	407	30,525	32,986	0,10000
342	403	30,388	32,986	0,10000
343	408	30,291	32,986	0,10000
344	402	30,576	32,986	0,10000
345	408	30,568	32,986	0,10000
346	407	30,568	32,986	0,10000
347	402	30,488	32,986	0,10000
348	405	30,550	32,986	0,10000
349	405	30,479	32,986	0,10000
350	405	30,417	32,986	0,10000
