generation	repeats	mean	best	mutation rate
0	0	12,233	17,981	0,49502
1	0	13,026	22,784	0,49010
2	2	13,081	22,784	0,48522
3	1	14,113	20,163	0,48039
4	1	13,271	18,700	0,47561
5	1	13,220	19,477	0,47088
6	0	12,384	17,134	0,46620
7	1	12,529	17,280	0,46156
8	0	12,864	15,973	0,45697
9	1	11,808	19,149	0,45242
10	1	11,700	17,094	0,44792
